ID,Notebook,Equity,Bond,Allocation,Inflation,Tax,WR,Success_Rate,Median_Final,Mean_Final,P5_Final,P95_Final,Failed_Simulations,Failed_Pct,Median_Depletion,Mean_Depletion,Min_Depletion,Data_From,Data_To,N_Simulations,Block_Size_Months
0100,0100_block_notax_i_hicp_m_world_b_de_6040,MSCI World,Bund,60/40,HICP_EU,No Tax,4.0,78.35,899494,1381636,0,4541365,21647,21.6,26,25.3,12,2000-12-30,2025-10-31,100000,6
0101,0101_block_notax_i_hicp_m_world_b_de_7030,MSCI World,Bund,70/30,HICP_EU,No Tax,4.0,78.17,1097975,1807516,0,6181313,21832,21.8,25,24.6,11,2000-12-30,2025-10-31,100000,6
0102,0102_block_notax_i_hicp_m_world_b_de_8020,MSCI World,Bund,80/20,HICP_EU,No Tax,4.0,77.33,1282788,2308728,0,8270551,22669,22.7,24,23.9,10,2000-12-30,2025-10-31,100000,6
0103,0103_block_notax_i_hicp_m_world_b_de_9010,MSCI World,Bund,90/10,HICP_EU,No Tax,4.0,76.23,1444403,2895666,0,10825881,23768,23.8,24,23.2,9,2000-12-30,2025-10-31,100000,6
0104,0104_block_notax_i_hicp_m_world_b_de_1000,MSCI World,-,100,HICP_EU,No Tax,4.0,74.86,1580517,3580714,0,14008419,25138,25.1,23,22.5,8,2000-12-30,2025-10-31,100000,6
0105,0105_block_notax_i_hicp_m_world_b_it_6040,MSCI World,BTP,60/40,HICP_EU,No Tax,4.0,80.46,1188838,1848342,0,6095223,19540,19.5,25,25.0,12,2000-12-30,2025-10-31,100000,6
0106,0106_block_notax_i_hicp_m_world_b_it_7030,MSCI World,BTP,70/30,HICP_EU,No Tax,4.0,79.68,1333558,2212797,0,7581764,20318,20.3,25,24.4,11,2000-12-30,2025-10-31,100000,6
0107,0107_block_notax_i_hicp_m_world_b_it_8020,MSCI World,BTP,80/20,HICP_EU,No Tax,4.0,78.32,1447769,2620960,0,9399755,21677,21.7,24,23.8,9,2000-12-30,2025-10-31,100000,6
0108,0108_block_notax_i_hicp_m_world_b_it_9010,MSCI World,BTP,90/10,HICP_EU,No Tax,4.0,76.73,1530097,3075857,0,11535199,23271,23.3,24,23.2,8,2000-12-30,2025-10-31,100000,6
0109,0109_block_notax_i_hicp_m_world_b_deit_602020,MSCI World,Bund+BTP,60/20/20,HICP_EU,No Tax,4.0,79.87,1054239,1606661,0,5244569,20130,20.1,26,25.2,12,2000-12-30,2025-10-31,100000,6
0110,0110_block_notax_i_hicp_m_world_b_deit_701515,MSCI World,Bund+BTP,70/15/15,HICP_EU,No Tax,4.0,79.15,1221866,2005033,0,6843578,20847,20.8,25,24.5,11,2000-12-30,2025-10-31,100000,6
0111,0111_block_notax_i_hicp_m_world_b_deit_801010,MSCI World,Bund+BTP,80/10/10,HICP_EU,No Tax,4.0,77.94,1367482,2462334,0,8832595,22057,22.1,24,23.9,10,2000-12-30,2025-10-31,100000,6
0112,0112_block_notax_i_hicp_m_world_b_deit_900505,MSCI World,Bund+BTP,90/5/5,HICP_EU,No Tax,4.0,76.5,1489272,2985057,0,11198818,23503,23.5,24,23.2,8,2000-12-30,2025-10-31,100000,6
0200,0200_block_notax_i_hicp_m_acwi_b_de_6040,MSCI ACWI,Bund,60/40,HICP_EU,No Tax,4.0,76.97,837272,1318952,0,4399692,23034,23.0,26,25.2,12,2000-12-30,2025-10-31,100000,6
0201,0201_block_notax_i_hicp_m_acwi_b_de_7030,MSCI ACWI,Bund,70/30,HICP_EU,No Tax,4.0,76.77,1017984,1724778,0,5981103,23233,23.2,25,24.6,11,2000-12-30,2025-10-31,100000,6
0202,0202_block_notax_i_hicp_m_acwi_b_de_8020,MSCI ACWI,Bund,80/20,HICP_EU,No Tax,4.0,75.99,1187717,2202664,0,7986124,24010,24.0,24,23.9,10,2000-12-30,2025-10-31,100000,6
0203,0203_block_notax_i_hicp_m_acwi_b_de_9010,MSCI ACWI,Bund,90/10,HICP_EU,No Tax,4.0,74.93,1334669,2762741,0,10440302,25072,25.1,24,23.1,9,2000-12-30,2025-10-31,100000,6
0204,0204_block_notax_i_hicp_m_acwi_b_de_1000,MSCI ACWI,-,100,HICP_EU,No Tax,4.0,73.63,1458183,3417091,0,13470758,26370,26.4,23,22.5,8,2000-12-30,2025-10-31,100000,6
0205,0205_block_notax_i_hicp_m_acwi_b_it_6040,MSCI ACWI,BTP,60/40,HICP_EU,No Tax,4.0,79.18,1113314,1772350,0,5913329,20823,20.8,25,24.9,12,2000-12-30,2025-10-31,100000,6
0206,0206_block_notax_i_hicp_m_acwi_b_it_7030,MSCI ACWI,BTP,70/30,HICP_EU,No Tax,4.0,78.35,1243429,2117440,0,7348057,21651,21.7,25,24.3,11,2000-12-30,2025-10-31,100000,6
0207,0207_block_notax_i_hicp_m_acwi_b_it_8020,MSCI ACWI,BTP,80/20,HICP_EU,No Tax,4.0,77.02,1344157,2504514,0,9079500,22977,23.0,24,23.7,9,2000-12-30,2025-10-31,100000,6
0208,0208_block_notax_i_hicp_m_acwi_b_it_9010,MSCI ACWI,BTP,90/10,HICP_EU,No Tax,4.0,75.4,1416403,2936635,0,11116477,24602,24.6,23,23.1,8,2000-12-30,2025-10-31,100000,6
0209,0209_block_notax_i_hicp_m_acwi_b_deit_602020,MSCI ACWI,Bund+BTP,60/20/20,HICP_EU,No Tax,4.0,78.53,983413,1537335,0,5087303,21467,21.5,26,25.1,12,2000-12-30,2025-10-31,100000,6
0210,0210_block_notax_i_hicp_m_acwi_b_deit_701515,MSCI ACWI,Bund+BTP,70/15/15,HICP_EU,No Tax,4.0,77.77,1133975,1916017,0,6626916,22227,22.2,25,24.4,11,2000-12-30,2025-10-31,100000,6
