"",BBSSY.D.REN.EUR.A615.000000WT1515.A,BBSSY.D.REN.EUR.A615.000000WT1515.A_FLAGS
"",Daily yield of the current 15 year federal bond,
Comment,ISIN DE000BU2F009 seit dem 10. April 2024,
Decimals,2,
Time format code,P1D,
category,ZRWR,
unit,PROZENT,
unit multiplier,One,
last update,2025-12-05 12:33:33,
2020-05-11,-0.28,
2020-05-12,-0.28,
2020-05-13,-0.32,
2020-05-14,-0.33,
2020-05-15,-0.34,
2020-05-16,.,No value available
2020-05-17,.,No value available
2020-05-18,-0.34,
2020-05-19,-0.26,
2020-05-20,-0.26,
2020-05-21,-0.26,
2020-05-22,-0.29,
2020-05-23,.,No value available
2020-05-24,.,No value available
2020-05-25,-0.27,
2020-05-26,-0.21,
2020-05-27,-0.24,
2020-05-28,-0.21,
2020-05-29,-0.21,
2020-05-30,.,No value available
2020-05-31,.,No value available
2020-06-01,.,No value available
2020-06-02,-0.19,
2020-06-03,-0.17,
2020-06-04,-0.14,
2020-06-05,-0.06,
2020-06-06,.,No value available
2020-06-07,.,No value available
2020-06-08,-0.04,
2020-06-09,-0.10,
2020-06-10,-0.09,
2020-06-11,-0.16,
2020-06-12,-0.19,
2020-06-13,.,No value available
2020-06-14,.,No value available
2020-06-15,-0.22,
2020-06-16,-0.19,
2020-06-17,-0.17,
2020-06-18,-0.20,
2020-06-19,-0.22,
2020-06-20,.,No value available
2020-06-21,.,No value available
2020-06-22,-0.23,
2020-06-23,-0.22,
2020-06-24,-0.20,
2020-06-25,-0.27,
2020-06-26,-0.28,
2020-06-27,.,No value available
2020-06-28,.,No value available
2020-06-29,-0.28,
2020-06-30,-0.29,
2020-07-01,-0.24,
2020-07-02,-0.20,
2020-07-03,-0.24,
2020-07-04,.,No value available
2020-07-05,.,No value available
2020-07-06,-0.22,
2020-07-07,-0.23,
2020-07-08,-0.25,
2020-07-09,-0.24,
2020-07-10,-0.30,
2020-07-11,.,No value available
2020-07-12,.,No value available
2020-07-13,-0.27,
2020-07-14,-0.24,
2020-07-15,-0.29,
2020-07-16,-0.27,
2020-07-17,-0.27,
2020-07-18,.,No value available
2020-07-19,.,No value available
2020-07-20,-0.25,
2020-07-21,-0.28,
2020-07-22,-0.29,
2020-07-23,-0.31,
2020-07-24,-0.29,
2020-07-25,.,No value available
2020-07-26,.,No value available
2020-07-27,-0.29,
2020-07-28,-0.31,
2020-07-29,-0.32,
2020-07-30,-0.35,
2020-07-31,-0.37,
2020-08-01,.,No value available
2020-08-02,.,No value available
2020-08-03,-0.33,
2020-08-04,-0.35,
2020-08-05,-0.36,
2020-08-06,-0.34,
2020-08-07,-0.35,
2020-08-08,.,No value available
2020-08-09,.,No value available
2020-08-10,-0.32,
2020-08-11,-0.32,
2020-08-12,-0.26,
2020-08-13,-0.27,
2020-08-14,-0.22,
2020-08-15,.,No value available
2020-08-16,.,No value available
2020-08-17,-0.23,
2020-08-18,-0.26,
2020-08-19,-0.29,
2020-08-20,-0.29,
2020-08-21,-0.32,
2020-08-22,.,No value available
2020-08-23,.,No value available
2020-08-24,-0.29,
2020-08-25,-0.26,
2020-08-26,-0.21,
2020-08-27,-0.25,
2020-08-28,-0.18,
2020-08-29,.,No value available
2020-08-30,.,No value available
2020-08-31,-0.16,
2020-09-01,-0.16,
2020-09-02,-0.23,
2020-09-03,-0.25,
2020-09-04,-0.28,
2020-09-05,.,No value available
2020-09-06,.,No value available
2020-09-07,-0.26,
2020-09-08,-0.26,
2020-09-09,-0.29,
2020-09-10,-0.26,
2020-09-11,-0.27,
2020-09-12,.,No value available
2020-09-13,.,No value available
2020-09-14,-0.30,
2020-09-15,-0.27,
2020-09-16,-0.29,
2020-09-17,-0.28,
2020-09-18,-0.29,
2020-09-19,.,No value available
2020-09-20,.,No value available
2020-09-21,-0.31,
2020-09-22,-0.33,
2020-09-23,-0.30,
2020-09-24,-0.32,
2020-09-25,-0.32,
2020-09-26,.,No value available
2020-09-27,.,No value available
2020-09-28,-0.32,
2020-09-29,-0.35,
2020-09-30,-0.35,
2020-10-01,-0.32,
2020-10-02,-0.35,
2020-10-03,.,No value available
2020-10-04,.,No value available
2020-10-05,-0.34,
2020-10-06,-0.33,
2020-10-07,-0.32,
2020-10-08,-0.31,
2020-10-09,-0.35,
2020-10-10,.,No value available
2020-10-11,.,No value available
2020-10-12,-0.35,
2020-10-13,-0.36,
2020-10-14,-0.38,
2020-10-15,-0.43,
2020-10-16,-0.44,
2020-10-17,.,No value available
2020-10-18,.,No value available
2020-10-19,-0.43,
2020-10-20,-0.44,
2020-10-21,-0.40,
2020-10-22,-0.39,
2020-10-23,-0.38,
2020-10-24,.,No value available
2020-10-25,.,No value available
2020-10-26,-0.39,
2020-10-27,-0.39,
2020-10-28,-0.46,
2020-10-29,-0.45,
2020-10-30,-0.44,
2020-10-31,.,No value available
2020-11-01,.,No value available
2020-11-02,-0.43,
2020-11-03,-0.44,
2020-11-04,-0.47,
2020-11-05,-0.46,
2020-11-06,-0.46,
2020-11-07,.,No value available
2020-11-08,.,No value available
2020-11-09,-0.45,
2020-11-10,-0.30,
2020-11-11,-0.28,
2020-11-12,-0.31,
2020-11-13,-0.35,
2020-11-14,.,No value available
2020-11-15,.,No value available
2020-11-16,-0.37,
2020-11-17,-0.37,
2020-11-18,-0.38,
2020-11-19,-0.39,
2020-11-20,-0.39,
2020-11-21,.,No value available
2020-11-22,.,No value available
2020-11-23,-0.39,
2020-11-24,-0.38,
2020-11-25,-0.38,
2020-11-26,-0.38,
2020-11-27,-0.40,
2020-11-28,.,No value available
2020-11-29,.,No value available
2020-11-30,-0.40,
2020-12-01,-0.36,
2020-12-02,-0.32,
2020-12-03,-0.34,
2020-12-04,-0.36,
2020-12-05,.,No value available
2020-12-06,.,No value available
2020-12-07,-0.38,
2020-12-08,-0.40,
2020-12-09,-0.41,
2020-12-10,-0.43,
2020-12-11,-0.46,
2020-12-12,.,No value available
2020-12-13,.,No value available
2020-12-14,-0.45,
2020-12-15,-0.44,
2020-12-16,-0.41,
2020-12-17,-0.40,
2020-12-18,-0.37,
2020-12-19,.,No value available
2020-12-20,.,No value available
2020-12-21,-0.44,
2020-12-22,-0.42,
2020-12-23,-0.43,
2020-12-24,.,No value available
2020-12-25,.,No value available
2020-12-26,.,No value available
2020-12-27,.,No value available
2020-12-28,-0.36,
2020-12-29,-0.40,
2020-12-30,-0.38,
2020-12-31,.,No value available
2021-01-01,.,No value available
2021-01-02,.,No value available
2021-01-03,.,No value available
2021-01-04,-0.43,
2021-01-05,-0.42,
2021-01-06,-0.36,
2021-01-07,-0.37,
2021-01-08,-0.37,
2021-01-09,.,No value available
2021-01-10,.,No value available
2021-01-11,-0.37,
2021-01-12,-0.31,
2021-01-13,-0.34,
2021-01-14,-0.37,
2021-01-15,-0.38,
2021-01-16,.,No value available
2021-01-17,.,No value available
2021-01-18,-0.37,
2021-01-19,-0.35,
2021-01-20,-0.37,
2021-01-21,-0.36,
2021-01-22,-0.34,
2021-01-23,.,No value available
2021-01-24,.,No value available
2021-01-25,-0.37,
2021-01-26,-0.38,
2021-01-27,-0.37,
2021-01-28,-0.39,
2021-01-29,-0.34,
2021-01-30,.,No value available
2021-01-31,.,No value available
2021-02-01,-0.34,
2021-02-02,-0.32,
2021-02-03,-0.30,
2021-02-04,-0.29,
2021-02-05,-0.27,
2021-02-06,.,No value available
2021-02-07,.,No value available
2021-02-08,-0.24,
2021-02-09,-0.27,
2021-02-10,-0.26,
2021-02-11,-0.28,
2021-02-12,-0.27,
2021-02-13,.,No value available
2021-02-14,.,No value available
2021-02-15,-0.18,
2021-02-16,-0.18,
2021-02-17,-0.16,
2021-02-18,-0.16,
2021-02-19,-0.13,
2021-02-20,.,No value available
2021-02-21,.,No value available
2021-02-22,-0.10,
2021-02-23,-0.09,
2021-02-24,-0.11,
2021-02-25,-0.05,
2021-02-26,-0.06,
2021-02-27,.,No value available
2021-02-28,.,No value available
2021-03-01,-0.10,
2021-03-02,-0.11,
2021-03-03,-0.05,
2021-03-04,-0.04,
2021-03-05,-0.03,
2021-03-06,.,No value available
2021-03-07,.,No value available
2021-03-08,-0.02,
2021-03-09,-0.06,
2021-03-10,-0.04,
2021-03-11,-0.06,
2021-03-12,-0.05,
2021-03-13,.,No value available
2021-03-14,.,No value available
2021-03-15,-0.05,
2021-03-16,-0.07,
2021-03-17,-0.04,
2021-03-18,0.02,
2021-03-19,-0.02,
2021-03-20,.,No value available
2021-03-21,.,No value available
2021-03-22,-0.02,
2021-03-23,-0.04,
2021-03-24,-0.07,
2021-03-25,-0.07,
2021-03-26,-0.06,
2021-03-27,.,No value available
2021-03-28,.,No value available
2021-03-29,-0.04,
2021-03-30,0.04,
2021-03-31,0.02,
2021-04-01,-0.01,
2021-04-02,.,No value available
2021-04-03,.,No value available
2021-04-04,.,No value available
2021-04-05,.,No value available
2021-04-06,-0.01,
2021-04-07,-0.04,
2021-04-08,-0.04,
2021-04-09,-0.02,
2021-04-10,.,No value available
2021-04-11,.,No value available
2021-04-12,-0.03,
2021-04-13,0.01,
2021-04-14,-0.01,
2021-04-15,0.01,
2021-04-16,0.02,
2021-04-17,.,No value available
2021-04-18,.,No value available
2021-04-19,0.02,
2021-04-20,0.06,
2021-04-21,0.04,
2021-04-22,0.01,
2021-04-23,0.01,
2021-04-24,.,No value available
2021-04-25,.,No value available
2021-04-26,0.03,
2021-04-27,0.04,
2021-04-28,0.07,
2021-04-29,0.07,
2021-04-30,0.09,
2021-05-01,.,No value available
2021-05-02,.,No value available
2021-05-03,0.12,
2021-05-04,0.09,
2021-05-05,0.07,
2021-05-06,0.06,
2021-05-07,0.08,
2021-05-08,.,No value available
2021-05-09,.,No value available
2021-05-10,0.09,
2021-05-11,0.13,
2021-05-12,0.13,
2021-05-13,0.19,
2021-05-14,0.17,
2021-05-15,.,No value available
2021-05-16,.,No value available
2021-05-17,0.17,
2021-05-18,0.19,
2021-05-19,0.22,
