"DATE","TIME PERIOD","Long-term interest rate for convergence purposes - 10 years maturity, denominated in Euro - France (IRS.M.FR.L.L40.CI.0000.EUR.N.Z)"
"1986-01-31","1986Jan","10.05"
"1986-02-28","1986Feb","9.81"
"1986-03-31","1986Mar","8.81"
"1986-04-30","1986Apr","8.04"
"1986-05-31","1986May","7.90"
"1986-06-30","1986Jun","8.06"
"1986-07-31","1986Jul","7.95"
"1986-08-31","1986Aug","7.76"
"1986-09-30","1986Sep","7.56"
"1986-10-31","1986Oct","7.99"
"1986-11-30","1986Nov","8.66"
"1986-12-31","1986Dec","8.81"
"1987-01-31","1987Jan","8.86"
"1987-02-28","1987Feb","9.12"
"1987-03-31","1987Mar","8.67"
"1987-04-30","1987Apr","8.69"
"1987-05-31","1987May","8.94"
"1987-06-30","1987Jun","9.32"
"1987-07-31","1987Jul","9.37"
"1987-08-31","1987Aug","9.83"
"1987-09-30","1987Sep","10.25"
"1987-10-31","1987Oct","10.70"
"1987-11-30","1987Nov","9.96"
"1987-12-31","1987Dec","9.98"
"1988-01-31","1988Jan","9.81"
"1988-02-29","1988Feb","9.13"
"1988-03-31","1988Mar","9.26"
"1988-04-30","1988Apr","9.20"
"1988-05-31","1988May","9.25"
"1988-06-30","1988Jun","8.96"
"1988-07-31","1988Jul","8.98"
"1988-08-31","1988Aug","9.24"
"1988-09-30","1988Sep","9.01"
"1988-10-31","1988Oct","8.76"
"1988-11-30","1988Nov","8.74"
"1988-12-31","1988Dec","8.69"
"1989-01-31","1989Jan","8.57"
"1989-02-28","1989Feb","8.95"
"1989-03-31","1989Mar","9.08"
"1989-04-30","1989Apr","8.86"
"1989-05-31","1989May","8.82"
"1989-06-30","1989Jun","8.67"
"1989-07-31","1989Jul","8.55"
"1989-08-31","1989Aug","8.35"
"1989-09-30","1989Sep","8.55"
"1989-10-31","1989Oct","8.81"
"1989-11-30","1989Nov","9.05"
"1989-12-31","1989Dec","9.12"
"1990-01-31","1990Jan","9.54"
"1990-02-28","1990Feb","9.97"
"1990-03-31","1990Mar","9.98"
"1990-04-30","1990Apr","9.59"
"1990-05-31","1990May","9.56"
"1990-06-30","1990Jun","9.69"
"1990-07-31","1990Jul","9.59"
"1990-08-31","1990Aug","10.06"
"1990-09-30","1990Sep","10.49"
"1990-10-31","1990Oct","10.38"
"1990-11-30","1990Nov","10.21"
"1990-12-31","1990Dec","9.94"
"1991-01-31","1991Jan","9.77"
"1991-02-28","1991Feb","9.12"
"1991-03-31","1991Mar","9.05"
"1991-04-30","1991Apr","8.90"
"1991-05-31","1991May","8.88"
"1991-06-30","1991Jun","9.15"
"1991-07-31","1991Jul","9.19"
"1991-08-31","1991Aug","9.11"
"1991-09-30","1991Sep","8.88"
"1991-10-31","1991Oct","8.80"
"1991-11-30","1991Nov","8.81"
"1991-12-31","1991Dec","8.80"
"1992-01-31","1992Jan","8.46"
"1992-02-29","1992Feb","8.46"
"1992-03-31","1992Mar","8.59"
"1992-04-30","1992Apr","8.68"
"1992-05-31","1992May","8.59"
"1992-06-30","1992Jun","8.74"
"1992-07-31","1992Jul","8.90"
"1992-08-31","1992Aug","9.05"
"1992-09-30","1992Sep","8.75"
