DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,COICOP_REV_ISTAT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_COICOP_REV_ISTAT,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-01,101.2,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-02,101.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-03,101.9,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-04,102.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-05,102.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-06,102.6,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-07,102.9,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-08,103.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-09,103.2,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-10,103.8,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-11,103.9,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2011-12,104.2,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-01,104.6,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-02,105,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-03,105.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-04,105.9,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-05,105.8,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-06,106,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-07,106.1,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-08,106.6,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-09,106.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-10,106.6,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-11,106.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2012-12,106.7,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-01,106.9,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-02,106.9,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-03,107.1,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-04,107.1,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-05,107,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-06,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-07,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-08,107.7,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-09,107.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-10,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-11,107,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2013-12,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-01,107.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-02,107.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-03,107.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-04,107.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-05,107.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-06,107.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-07,107.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-08,107.7,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-09,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-10,107.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-11,107.2,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2014-12,107.2,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-01,106.7,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-02,107.1,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-03,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-04,107.4,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-05,107.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-06,107.6,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-07,107.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-08,107.7,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-09,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-10,107.5,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-11,107.3,,,,,,,,,,
IT1:169_15_DF_DCSP_FOI1B2010_1(1.0),M,IT,11,4,00,2015-12,107.3,,,,,,,,,,
