Titre :;Taux de l'Echéance Constante - 1 an;Taux de l'Echéance Constante - 10 ans;Taux de l'Echéance Constante - 15 ans;Taux de l'Echéance Constante - 2 ans;Taux de l'Echéance Constante - 20 ans;Taux de l'Echéance Constante - 25 ans;Taux de l'Echéance Constante - 3 ans;Taux de l'Echéance Constante - 30 ans;Taux de l'Echéance Constante - 5 ans;Taux de l'Echéance Constante - 7 ans
Code série :;FM.D.FR.EUR.FR2.BB.FRMOYTEC1.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC10.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC15.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC2.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC20.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC25.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC3.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC30.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC5.HSTA;FM.D.FR.EUR.FR2.BB.FRMOYTEC7.HSTA
Unité :;Pourcent (PC);Pourcent (PC);Pourcent (PC);Pourcent (PC);Pourcent (PC);Pourcent (PC);Pourcent (PC);Pourcent (PC);Pourcent (PC);Pourcent (PC)
Magnitude :;Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0);Unités (0)
Méthode d'observation :;Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E);Fin de période (E)
Source :;Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS);Banque de France, MTS France (MTS)
2025-12-05;2,14;3,53;3,93;2,25;4,14;4,32;2,43;4,42;2,78;3,11
2025-12-04;2,14;3,5;3,91;2,24;4,12;4,3;2,42;4,4;2,76;3,08
2025-12-03;2,13;3,5;3,9;2,23;4,11;4,29;2,42;4,4;2,76;3,08
2025-12-02;2,14;3,49;3,88;2,24;4,09;4,28;2,42;4,38;2,75;3,07
2025-12-01;2,12;3,45;3,86;2,22;4,07;4,25;2,4;4,36;2,72;3,04
2025-11-30;-;-;-;-;-;-;-;-;-;-
2025-11-29;-;-;-;-;-;-;-;-;-;-
2025-11-28;2,12;3,41;3,82;2,21;4,03;4,21;2,38;4,32;2,68;3,01
2025-11-27;2,11;3,41;3,82;2,2;4,03;4,22;2,37;4,32;2,68;3,0
2025-11-26;2,1;3,41;3,82;2,2;4,03;4,22;2,37;4,33;2,67;3,0
2025-11-25;2,1;3,45;3,86;2,2;4,06;4,25;2,38;4,36;2,7;3,03
2025-11-24;2,1;3,45;3,86;2,2;4,06;4,24;2,37;4,36;2,7;3,04
2025-11-23;-;-;-;-;-;-;-;-;-;-
2025-11-22;-;-;-;-;-;-;-;-;-;-
2025-11-21;2,09;3,46;3,88;2,18;4,08;4,27;2,37;4,38;2,7;3,04
2025-11-20;2,11;3,48;3,88;2,21;4,08;4,25;2,39;4,38;2,73;3,06
2025-11-19;2,08;3,45;3,85;2,19;4,05;4,22;2,37;4,34;2,7;3,03
2025-11-18;2,1;3,44;3,83;2,2;4,03;4,21;2,37;4,33;2,7;3,02
2025-11-17;2,09;3,44;3,84;2,21;4,03;4,2;2,38;4,32;2,7;3,03
2025-11-16;-;-;-;-;-;-;-;-;-;-
2025-11-15;-;-;-;-;-;-;-;-;-;-
2025-11-14;2,1;3,45;3,84;2,2;4,04;4,21;2,37;4,33;2,71;3,03
2025-11-13;2,09;3,37;3,76;2,18;3,96;4,12;2,34;4,24;2,64;2,96
2025-11-12;2,08;3,41;3,81;2,18;4,01;4,18;2,35;4,29;2,67;2,99
2025-11-11;2,07;3,44;3,83;2,18;4,03;4,2;2,35;4,31;2,68;3,01
2025-11-10;2,08;3,45;3,85;2,18;4,05;4,21;2,36;4,33;2,69;3,02
2025-11-09;-;-;-;-;-;-;-;-;-;-
2025-11-08;-;-;-;-;-;-;-;-;-;-
2025-11-07;2,09;3,46;3,86;2,18;4,06;4,23;2,37;4,34;2,7;3,03
2025-11-06;2,08;3,45;3,85;2,17;4,05;4,22;2,35;4,33;2,69;3,01
2025-11-05;2,08;3,43;3,84;2,15;4,04;4,2;2,33;4,31;2,67;2,99
2025-11-04;2,07;3,43;3,84;2,15;4,03;4,2;2,32;4,31;2,67;2,99
2025-11-03;2,07;3,41;3,82;2,14;4,01;4,17;2,32;4,28;2,65;2,97
2025-11-02;-;-;-;-;-;-;-;-;-;-
2025-11-01;-;-;-;-;-;-;-;-;-;-
2025-10-31;2,06;3,42;3,82;2,16;4,01;4,17;2,33;4,28;2,66;2,98
2025-10-30;2,06;3,42;3,82;2,16;4,0;4,16;2,34;4,28;2,67;2,99
2025-10-29;2,05;3,41;3,81;2,14;4,0;4,16;2,32;4,28;2,65;2,97
2025-10-28;2,05;3,41;3,81;2,14;3,99;4,15;2,32;4,28;2,65;2,96
2025-10-27;2,06;3,42;3,82;2,14;4,01;4,18;2,33;4,3;2,66;2,98
2025-10-26;-;-;-;-;-;-;-;-;-;-
2025-10-25;-;-;-;-;-;-;-;-;-;-
2025-10-24;2,05;3,42;3,82;2,13;4,0;4,17;2,32;4,29;2,66;2,97
2025-10-23;2,03;3,36;3,77;2,09;3,95;4,12;2,27;4,24;2,6;2,91
2025-10-22;2,03;3,33;3,74;2,07;3,93;4,09;2,25;4,22;2,57;2,88
2025-10-21;2,02;3,34;3,75;2,08;3,94;4,1;2,26;4,22;2,59;2,89
2025-10-20;2,02;3,38;3,78;2,08;3,97;4,14;2,26;4,26;2,6;2,92
2025-10-19;-;-;-;-;-;-;-;-;-;-
2025-10-18;-;-;-;-;-;-;-;-;-;-
2025-10-17;2,0;3,31;3,73;2,04;3,92;4,08;2,22;4,21;2,54;2,86
2025-10-16;2,03;3,34;3,74;2,08;3,93;4,09;2,25;4,21;2,58;2,89
2025-10-15;2,02;3,36;3,77;2,08;3,95;4,11;2,26;4,23;2,59;2,91
2025-10-14;2,01;3,42;3,83;2,09;4,01;4,17;2,28;4,29;2,64;2,96
2025-10-13;2,03;3,46;3,87;2,12;4,05;4,21;2,32;4,33;2,68;3,0
2025-10-12;-;-;-;-;-;-;-;-;-;-
2025-10-11;-;-;-;-;-;-;-;-;-;-
2025-10-10;2,05;3,49;3,89;2,17;4,06;4,22;2,36;4,35;2,72;3,04
2025-10-09;2,05;3,49;3,9;2,16;4,07;4,23;2,37;4,35;2,72;3,04
2025-10-08;2,05;3,51;3,91;2,17;4,08;4,25;2,37;4,37;2,72;3,05
2025-10-07;2,07;3,58;3,98;2,19;4,15;4,31;2,4;4,43;2,78;3,11
2025-10-06;2,07;3,57;3,97;2,17;4,14;4,31;2,39;4,42;2,77;3,11
2025-10-05;-;-;-;-;-;-;-;-;-;-
2025-10-04;-;-;-;-;-;-;-;-;-;-
2025-10-03;2,07;3,51;3,9;2,17;4,07;4,23;2,37;4,35;2,74;3,06
2025-10-02;2,08;3,51;3,91;2,17;4,09;4,25;2,37;4,37;2,74;3,06
2025-10-01;2,09;3,55;3,95;2,18;4,12;4,28;2,39;4,4;2,77;3,1
2025-09-30;2,07;3,51;3,91;2,17;4,08;4,24;2,37;4,36;2,74;3,07
2025-09-29;2,06;3,53;3,93;2,18;4,1;4,26;2,37;4,38;2,76;3,08
2025-09-28;-;-;-;-;-;-;-;-;-;-
2025-09-27;-;-;-;-;-;-;-;-;-;-
2025-09-26;2,06;3,57;3,96;2,18;4,14;4,3;2,39;4,42;2,78;3,11
2025-09-25;2,05;3,55;3,95;2,17;4,13;4,29;2,37;4,41;2,76;3,09
2025-09-24;2,04;3,53;3,94;2,16;4,12;4,29;2,37;4,41;2,75;3,08
2025-09-23;2,03;3,54;3,95;2,16;4,13;4,3;2,37;4,43;2,75;3,08
2025-09-22;2,03;3,54;3,94;2,16;4,12;4,29;2,37;4,41;2,75;3,09
2025-09-21;-;-;-;-;-;-;-;-;-;-
2025-09-20;-;-;-;-;-;-;-;-;-;-
2025-09-19;2,03;3,52;3,93;2,16;4,11;4,27;2,36;4,4;2,75;3,08
2025-09-18;2,02;3,47;3,87;2,15;4,05;4,21;2,36;4,34;2,72;3,04
2025-09-17;2,02;3,45;3,86;2,14;4,03;4,19;2,34;4,32;2,69;3,02
2025-09-16;2,01;3,45;3,84;2,14;4,02;4,18;2,35;4,3;2,7;3,02
2025-09-15;2,01;3,46;3,86;2,14;4,04;4,2;2,34;4,33;2,7;3,03
2025-09-14;-;-;-;-;-;-;-;-;-;-
2025-09-13;-;-;-;-;-;-;-;-;-;-
2025-09-12;2,01;3,44;3,83;2,16;4,0;4,16;2,35;4,27;2,71;3,02
2025-09-11;2,01;3,43;3,84;2,11;4,03;4,19;2,3;4,32;2,66;2,99
2025-09-10;1,96;3,45;3,87;2,09;4,05;4,21;2,28;4,34;2,65;3,0
2025-09-09;1,99;3,46;3,88;2,08;4,07;4,23;2,27;4,35;2,65;3,0
2025-09-08;2,01;3,49;3,92;2,09;4,1;4,26;2,28;4,38;2,67;3,02
2025-09-07;-;-;-;-;-;-;-;-;-;-
2025-09-06;-;-;-;-;-;-;-;-;-;-
2025-09-05;2,03;3,52;3,94;2,12;4,12;4,28;2,31;4,4;2,7;3,05
2025-09-04;2,03;3,54;3,94;2,11;4,13;4,29;2,31;4,41;2,71;3,07
2025-09-03;2,04;3,62;4,03;2,14;4,22;4,38;2,35;4,5;2,76;3,13
2025-09-02;2,04;3,62;4,05;2,14;4,22;4,38;2,35;4,5;2,77;3,14
2025-09-01;2,04;3,57;3,98;2,11;4,16;4,32;2,32;4,45;2,73;3,1
2025-08-31;-;-;-;-;-;-;-;-;-;-
2025-08-30;-;-;-;-;-;-;-;-;-;-
2025-08-29;2,03;3,54;3,96;2,09;4,13;4,29;2,3;4,42;2,72;3,07
2025-08-28;2,01;3,51;3,92;2,09;4,09;4,27;2,3;4,38;2,69;3,05
2025-08-27;2,01;3,52;3,93;2,09;4,09;4,26;2,31;4,38;2,71;3,06
2025-08-26;2,02;3,54;3,94;2,1;4,11;4,28;2,33;4,4;2,73;3,08
2025-08-25;1,99;3,49;3,89;2,1;4,06;4,23;2,32;4,35;2,71;3,05
2025-08-24;-;-;-;-;-;-;-;-;-;-
2025-08-23;-;-;-;-;-;-;-;-;-;-
2025-08-22;1,98;3,48;3,87;2,1;4,04;4,21;2,33;4,32;2,71;3,05
2025-08-21;1,97;3,45;3,84;2,09;4,01;4,18;2,31;4,29;2,7;3,03
2025-08-20;1,98;3,45;3,84;2,08;4,01;4,17;2,3;4,29;2,69;3,02
2025-08-19;1,98;3,48;3,88;2,1;4,05;4,22;2,33;4,33;2,72;3,05
2025-08-18;1,98;3,45;3,83;2,09;4,0;4,16;2,32;4,27;2,69;3,02
2025-08-17;-;-;-;-;-;-;-;-;-;-
2025-08-16;-;-;-;-;-;-;-;-;-;-
2025-08-15;1,99;3,43;3,82;2,08;3,98;4,15;2,3;4,26;2,67;3,0
2025-08-14;1,99;3,34;3,73;2,05;3,89;4,05;2,26;4,16;2,6;2,93
2025-08-13;1,99;3,38;3,76;2,06;3,93;4,09;2,28;4,2;2,64;2,97
2025-08-12;1,99;3,39;3,77;2,08;3,93;4,09;2,29;4,2;2,65;2,98
2025-08-11;1,99;3,36;3,74;2,07;3,9;4,05;2,28;4,16;2,64;2,96
2025-08-10;-;-;-;-;-;-;-;-;-;-
2025-08-09;-;-;-;-;-;-;-;-;-;-
2025-08-08;1,99;3,35;3,72;2,07;3,88;4,03;2,27;4,13;2,63;2,94
