Titre :;Taux annuel monétaire (Série arrêtée)
Code série :;FM.M.FR.EUR.FR6.MM.TAM.HSTA
Unité :;Pourcent (PC)
Magnitude :;Unités (0)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
2022-05-31;-
2022-04-30;-
2022-03-31;-
2022-02-28;-
2022-01-31;-
2021-12-31;-0,4882
2021-11-30;-0,4865
2021-10-31;-0,4851
2021-09-30;-0,4837
2021-08-31;-0,4824
2021-07-31;-0,4811
2021-06-30;-0,4797
2021-05-31;-0,4781
2021-04-30;-0,4762
2021-03-31;-0,4737
2021-02-28;-0,4712
2021-01-31;-0,4705
2020-12-31;-0,4683
2020-11-30;-0,4669
2020-10-31;-0,4652
2020-09-30;-0,4648
2020-08-31;-0,4593
2020-07-31;-0,4502
2020-06-30;-0,4418
2020-05-31;-0,4335
2020-04-30;-0,4258
2020-03-31;-0,4188
2020-02-29;-0,4118
2020-01-31;-0,4039
2019-12-31;-0,3965
2019-11-30;-0,3884
2019-10-31;-0,3809
2019-09-30;-0,3725
2019-08-31;-0,3691
2019-07-31;-0,3689
2019-06-30;-0,3686
2019-05-31;-0,3687
2019-04-30;-0,3683
2019-03-31;-0,3682
2019-02-28;-0,3678
2019-01-31;-0,3677
2018-12-31;-0,3673
2018-11-30;-0,3657
2018-10-31;-0,3647
2018-09-30;-0,3641
2018-08-31;-0,3637
2018-07-31;-0,3634
2018-06-30;-0,363
2018-05-31;-0,3628
2018-04-30;-0,3625
2018-03-31;-0,3618
2018-02-28;-0,3609
2018-01-31;-0,36
2017-12-31;-0,359
2017-11-30;-0,3597
2017-10-31;-0,3597
2017-09-30;-0,3586
2017-08-31;-0,3574
2017-07-31;-0,3559
2017-06-30;-0,3533
2017-05-31;-0,3511
2017-04-30;-0,3493
2017-03-31;-0,3477
2017-02-28;-0,3421
2017-01-31;-0,334
2016-12-31;-0,3243
2016-11-30;-0,3115
2016-10-31;-0,2937
2016-09-30;-0,2759
2016-08-31;-0,2587
2016-07-31;-0,24
2016-06-30;-0,2219
2016-05-31;-0,2041
2016-04-30;-0,1841
2016-03-31;-0,1622
2016-02-29;-0,1418
2016-01-31;-0,1252
2015-12-31;-0,1091
2015-11-30;-0,0943
2015-10-31;-0,0841
2015-09-30;-0,0726
2015-08-31;-0,0607
2015-07-31;-0,0487
2015-06-30;-0,0349
2015-05-31;-0,0187
2015-04-30;0,0117
2015-03-31;0,0391
2015-02-28;0,06
2015-01-31;0,075
2014-12-31;0,0963
2014-11-30;0,1134
2014-10-31;0,123
2014-09-30;0,1315
2014-08-31;0,1376
2014-07-31;0,1432
2014-06-30;0,1474
2014-05-31;0,1483
2014-04-30;0,1337
2014-03-31;0,1193
2014-02-28;0,1085
2014-01-31;0,1016
2013-12-31;0,0906
2013-11-30;0,0824
2013-10-31;0,0804
2013-09-30;0,0802
2013-08-31;0,0817
2013-07-31;0,0842
2013-06-30;0,092
2013-05-31;0,1125
2013-04-30;0,1348
2013-03-31;0,1568
2013-02-28;0,1818
2013-01-31;0,206
2012-12-31;0,2329
2012-11-30;0,2806
2012-10-31;0,3401
2012-09-30;0,4152
2012-08-31;0,491
2012-07-31;0,5598
2012-06-30;0,6315
2012-05-31;0,6979
2012-04-30;0,7583
2012-03-31;0,8104
2012-02-29;0,8366
2012-01-31;0,8623
2011-12-31;0,8866
2011-11-30;0,8754
2011-10-31;0,8588
2011-09-30;0,8364
2011-08-31;0,79
2011-07-31;0,7484
2011-06-30;0,7024
2011-05-31;0,6379
2011-04-30;0,5782
2011-03-31;0,5267
2011-02-28;0,4998
2011-01-31;0,4712
2010-12-31;0,444
2010-11-30;0,4315
2010-10-31;0,4123
2010-09-30;0,3827
2010-08-31;0,3751
2010-07-31;0,3684
2010-06-30;0,3577
2010-05-31;0,3864
2010-04-30;0,4243
2010-03-31;0,4653
2010-02-28;0,5271
2010-01-31;0,5987
2009-12-31;0,7259
2009-11-30;0,9107
2009-10-31;1,1451
2009-09-30;1,4464
2009-08-31;1,7769
2009-07-31;2,1231
2009-06-30;2,4601
2009-05-31;2,7424
2009-04-30;3,0278
2009-03-31;3,2976
2009-02-28;3,5668
2009-01-31;3,8013
2008-12-31;3,9985
2008-11-30;4,123
2008-10-31;4,1985
2008-09-30;4,2093
2008-08-31;4,1882
2008-07-31;4,1657
2008-06-30;4,1543
2008-05-31;4,1499
2008-04-30;4,1303
2008-03-31;4,1158
2008-02-29;4,0801
2008-01-31;4,0315
2007-12-31;3,9905
2007-11-30;3,9568
2007-10-31;3,8968
2007-09-30;3,8377
2007-08-31;3,7525
2007-07-31;3,6564
2007-06-30;3,5453
2007-05-31;3,4371
2007-04-30;3,3294
2007-03-31;3,2271
2007-02-28;3,1234
2007-01-31;3,0258
2006-12-31;2,9164
2006-11-30;2,8081
2006-10-31;2,702
2006-09-30;2,5952
2006-08-31;2,5145
2006-07-31;2,4346
2006-06-30;2,3694
2006-05-31;2,3153
2006-04-30;2,2707
2006-03-31;2,2238
2006-02-28;2,1831
2006-01-31;2,16
2005-12-31;2,1381
2005-11-30;2,1186
2005-10-31;2,1185
2005-09-30;2,1224
2005-08-31;2,1188
2005-07-31;2,117
2005-06-30;2,1166
2005-05-31;2,1136
2005-04-30;2,1088
2005-03-31;2,109
2005-02-28;2,1045
2005-01-31;2,1081
2004-12-31;2,1032
2004-11-30;2,1035
2004-10-31;2,094
2004-09-30;2,0855
2004-08-31;2,0829
2004-07-31;2,088
2004-06-30;2,0889
2004-05-31;2,1047
2004-04-30;2,1522
2004-03-31;2,1935
2004-02-29;2,2588
2004-01-31;2,3112
2003-12-31;2,3785
2003-11-30;2,4699
2003-10-31;2,5833
2003-09-30;2,6967
2003-08-31;2,8074
2003-07-31;2,913
2003-06-30;3,0212
2003-05-31;3,1185
2003-04-30;3,1854
2003-03-31;3,2499
2003-02-28;3,2955
2003-01-31;3,3372
2002-12-31;3,3822
2002-11-30;3,4039
2002-10-31;3,4213
2002-09-30;3,4809
2002-08-31;3,5385
2002-07-31;3,6451
2002-06-30;3,7522
2002-05-31;3,8549
2002-04-30;3,9746
2002-03-31;4,1256
2002-02-28;4,2613
2002-01-31;4,3996
2001-12-31;4,5307
2001-11-30;4,6642
2001-10-31;4,7792
2001-09-30;4,8503
2001-08-31;4,9029
2001-07-31;4,8964
2001-06-30;4,8787
2001-05-31;4,8574
2001-04-30;4,7914
2001-03-31;4,6715
2001-02-28;4,5574
2001-01-31;4,4278
2000-12-31;4,2743
2000-11-30;4,1147
2000-10-31;3,9511
2000-09-30;3,7495
2000-08-31;3,5638
2000-07-31;3,3882
2000-06-30;3,2296
2000-05-31;3,0812
2000-04-30;2,9603
2000-03-31;2,8768
2000-02-29;2,8251
2000-01-31;2,8032
1999-12-31;2,8115
1999-11-30;2,8173
1999-10-31;2,8549
1999-09-30;2,932
1999-08-31;3,0126
1999-07-31;3,0951
1999-06-30;3,1708
1999-05-31;3,2407
1999-04-30;3,3136
1999-03-31;3,3708
1999-02-28;3,4107
1999-01-31;3,4314
1998-12-31;3,4525
1998-11-30;3,4763
1998-10-31;3,4763
1998-09-30;3,4715
1998-08-31;3,4554
1998-07-31;3,4387
1998-06-30;3,4221
1998-05-31;3,4059
1998-04-30;3,3893
1998-03-31;3,3732
1998-02-28;3,3565
1998-01-31;3,342
1997-12-31;3,3333
1997-11-30;3,3255
1997-10-31;3,3202
1997-09-30;3,3238
1997-08-31;3,3488
1997-07-31;3,3804
1997-06-30;3,4188
1997-05-31;3,4666
1997-04-30;3,5166
1997-03-31;3,576
1997-02-28;3,652
1997-01-31;3,7444
1996-12-31;3,8554
1996-11-30;4,0101
1996-10-31;4,2108
1996-09-30;4,4751
1996-08-31;4,6608
1996-07-31;4,8869
1996-06-30;5,171
1996-05-31;5,4861
1996-04-30;5,837
1996-03-31;6,1699
1996-02-29;6,481
1996-01-31;6,5643
1995-12-31;6,6393
1995-11-30;6,6669
1995-10-31;6,6384
1995-09-30;6,5468
1995-08-31;6,5198
1995-07-31;6,4516
1995-06-30;6,3222
1995-05-31;6,1532
1995-04-30;5,9832
1995-03-31;5,8423
1995-02-28;5,7368
1995-01-31;5,822
1994-12-31;5,9259
1994-11-30;6,0448
1994-10-31;6,1792
1994-09-30;6,3345
1994-08-31;6,5112
1994-07-31;6,8413
1994-06-30;7,1083
1994-05-31;7,3082
1994-04-30;7,5282
1994-03-31;7,8392
1994-02-28;8,2754
1994-01-31;8,7023
1993-12-31;9,2178
1993-11-30;9,5403
1993-10-31;9,783
1993-09-30;10,204
1993-08-31;10,7592
1993-07-31;10,8575
1993-06-30;11,0203
1993-05-31;11,228
1993-04-30;11,3927
1993-03-31;11,4244
1993-02-28;11,3227
1993-01-31;11,2182
1992-12-31;11,0292
1992-11-30;11,03
1992-10-31;11,0399
1992-09-30;10,8037
1992-08-31;10,4217
1992-07-31;10,3452
1992-06-30;10,2984
1992-05-31;10,2981
1992-04-30;10,2543
1992-03-31;10,2028
1992-02-29;10,1511
1992-01-31;10,0774
1991-12-31;10,0695
1991-11-30;10,0316
1991-10-31;10,036
1991-09-30;10,1029
1991-08-31;10,1568
1991-07-31;10,2132
1991-06-30;10,264
1991-05-31;10,2529
1991-04-30;10,2864
1991-03-31;10,3378
1991-02-28;10,414
1991-01-31;10,4998
1990-12-31;10,5705
1990-11-30;10,6459
1990-10-31;10,6755
1990-09-30;10,6874
1990-08-31;10,6109
1990-07-31;10,5442
1990-06-30;10,4643
1990-05-31;10,3838
1990-04-30;10,2657
1990-03-31;10,1214
1990-02-28;9,9569
1990-01-31;9,8126
1989-12-31;9,6011
1989-11-30;9,3885
1989-10-31;9,1928
1989-09-30;8,979
1989-08-31;8,8488
1989-07-31;8,6921
1989-06-30;8,5064
1989-05-31;8,3414
1989-04-30;8,2341
1989-03-31;8,1664
1989-02-28;8,0813
1989-01-31;7,9831
1988-12-31;7,9237
1988-11-30;7,9088
1988-10-31;7,9786
1988-09-30;7,9923
1988-08-31;7,9765
1988-07-31;7,9806
1988-06-30;8,0082
1988-05-31;8,0916
1988-04-30;8,1529
1988-03-31;8,1853
1988-02-29;8,2206
1988-01-31;8,2874
1987-12-31;8,3922
1987-11-30;8,37
1987-10-31;8,2494
1987-09-30;8,2165
1987-08-31;8,1925
1987-07-31;8,16
1987-06-30;8,1381
1987-05-31;8,0677
1987-04-30;8,0201
1987-03-31;8,0427
1987-02-28;8,1
1987-01-31;8,1371
1986-12-31;8,1296
1986-11-30;8,2421
1986-10-31;8,3948
1986-09-30;8,5808
1986-08-31;8,8057
1986-07-31;9,0505
1986-06-30;9,2991
1986-05-31;9,5686
1986-04-30;9,8187
1986-03-31;10,0305
1986-02-28;10,2315
1986-01-31;10,3905
1985-12-31;10,5556
1985-11-30;10,7345
1985-10-31;10,9406
1985-09-30;11,0982
1985-08-31;11,2656
1985-07-31;11,4247
1985-06-30;11,5731
1985-05-31;11,7484
1985-04-30;11,9299
1985-03-31;12,0752
1985-02-28;12,2412
1985-01-31;12,4221
1984-12-31;12,5866
1984-11-30;12,7141
1984-10-31;12,8169
1984-09-30;12,9453
1984-08-31;13,052
1984-07-31;13,1636
1984-06-30;13,2502
1984-05-31;13,294
1984-04-30;13,3295
1984-03-31;13,374
1984-02-29;13,4145
1984-01-31;13,4162
1983-12-31;13,4533
