"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2025","1,446.25","1,455.64","1,462.41","1,445.77","","-0.53%"
"12/11/2025","1,453.99","1,445.73","1,456.61","1,441.29","","0.55%"
"12/10/2025","1,446.03","1,443.99","1,446.44","1,440.03","","0.07%"
"12/09/2025","1,445.02","1,447.56","1,451.28","1,443.93","","-0.10%"
"12/08/2025","1,446.48","1,445.68","1,448.63","1,444.04","","-0.07%"
"12/05/2025","1,447.51","1,449.12","1,454.14","1,447.51","","-0.01%"
"12/04/2025","1,447.67","1,444.68","1,449.67","1,441.72","","0.46%"
"12/03/2025","1,441.03","1,440.50","1,446.18","1,437.39","","0.10%"
"12/02/2025","1,439.57","1,437.96","1,444.40","1,436.49","","0.08%"
"12/01/2025","1,438.44","1,438.41","1,439.87","1,432.02","","-0.20%"
"11/28/2025","1,441.33","1,437.70","1,442.69","1,435.81","","0.25%"
"11/27/2025","1,437.72","1,435.78","1,438.71","1,432.66","","0.15%"
"11/26/2025","1,435.59","1,423.21","1,435.99","1,421.06","","1.09%"
"11/25/2025","1,420.09","1,408.73","1,420.63","1,404.50","","0.91%"
"11/24/2025","1,407.27","1,408.07","1,415.34","1,402.50","","0.18%"
"11/21/2025","1,404.68","1,400.46","1,406.53","1,391.83","","-0.32%"
"11/20/2025","1,409.25","1,410.27","1,419.94","1,409.25","","0.41%"
"11/19/2025","1,403.50","1,404.09","1,413.49","1,399.52","","-0.02%"
"11/18/2025","1,403.84","1,420.19","1,420.19","1,399.21","","-1.72%"
"11/17/2025","1,428.38","1,436.51","1,438.89","1,426.62","","-0.54%"
"11/14/2025","1,436.18","1,446.01","1,446.01","1,422.96","","-1.01%"
"11/13/2025","1,450.83","1,460.24","1,464.97","1,450.82","","-0.58%"
"11/12/2025","1,459.23","1,450.86","1,462.32","1,450.86","","0.71%"
"11/11/2025","1,448.97","1,433.31","1,450.20","1,433.31","","1.28%"
"11/10/2025","1,430.72","1,419.29","1,432.97","1,419.29","","1.42%"
"11/07/2025","1,410.63","1,419.97","1,422.17","1,406.14","","-0.55%"
"11/06/2025","1,418.39","1,428.28","1,428.28","1,416.98","","-0.68%"
"11/05/2025","1,428.04","1,417.89","1,430.78","1,414.32","","0.25%"
"11/04/2025","1,424.49","1,422.32","1,424.99","1,405.17","","-0.30%"
"11/03/2025","1,428.73","1,427.92","1,435.01","1,427.77","","0.07%"
"10/31/2025","1,427.75","1,434.24","1,434.54","1,425.90","","-0.51%"
"10/30/2025","1,435.08","1,435.26","1,435.84","1,427.70","","-0.08%"
"10/29/2025","1,436.25","1,436.34","1,441.94","1,434.83","","-0.06%"
"10/28/2025","1,437.13","1,438.50","1,438.82","1,435.12","","-0.21%"
"10/27/2025","1,440.22","1,439.90","1,440.80","1,435.92","","0.22%"
"10/24/2025","1,437.00","1,436.49","1,438.06","1,429.67","","0.23%"
"10/23/2025","1,433.68","1,429.81","1,434.68","1,428.84","","0.38%"
"10/22/2025","1,428.25","1,428.69","1,433.29","1,426.16","","-0.18%"
"10/21/2025","1,430.78","1,429.17","1,432.59","1,425.98","","0.21%"
